Beyonce,30
Lady Gaga,25
Taylor Swift,24
The Black Eyed Peas,19
P!nk,17
Pitbull,16
Britney Spears,16
Flo Rida,15
Drake,15
Kelly Clarkson,14
Katy Perry,14
T.I.,14
Ne-Yo,14
Keith Urban,14
The Fray,13
Kings Of Leon,13
Miley Cyrus,13
Zac Brown Band,12
Darius Rucker,12
Shinedown,12
3OH!3,12
Kid Cudi,12
Keri Hilson,12
Jason Mraz,11
Akon,11
Jamie Foxx,11
Carrie Underwood,11
Jason Aldean,11
Lady Antebellum,10
Rascal Flatts,10
Kanye West,10
Rihanna,9
The All-American Rejects,9
Glee Cast,9
Jeremih,9
Nickelback,9
George Strait,9
David Cook,9
Dierks Bentley,9
Brad Paisley,9
Toby Keith,9
Green Day,8
Trey Songz,8
Sugarland,8
Justin Bieber,8
Tim McGraw,7
Jesse McCartney,7
Daughtry,7
New Boyz,7
Ciara,7
David Guetta,7
Billy Currington,7
Mariah Carey,7
The-Dream,7
Theory Of A Deadman,7
Kevin Rudolf,7
Pleasure P,7
Leona Lewis,7
Maxwell,7
Soulja Boy Tell 'em,6
Jay Sean,6
Eminem,6
Rob Thomas,6
Shakira,6
Kris Allen,6
Mario,6
T-Pain,6
LMFAO,6
Montgomery Gentry,6
Alan Jackson,6
The Pussycat Dolls,6
Blake Shelton,6
Sean Kingston,6
Birdman,6
